"Timestamp","I have obtained sufficient information about the study and the processing of my personal data. I have understood the information I have obtained and want to participate in the study.","Job title","Are you a member of any of these professional bodies?","Which industry does your organisation primarily work in?","What kind of Product do you currently work on? (Select all that apply)","Number of employees in your organisation","Typical time to market","Release heart beat","Product Team Size","Your primary location","Our product roadmap helps us deliver our strategy","Strategic Management","Product Strategy","Product Planning","Development","Marketing","Sales & Distribution","Service & Support","I have appropriate responsibility to achieve my goals","Roadmap detailing - How adequate is your roadmap detailed with respect to the timeline?","Roadmap items - Which items are on your product roadmap?","Reliability - How often do you adjust your product roadmap?","Confidence - How confident are you that the roadmap items have the expected impact on goals?","Discovery – How do  you conduct  product discovery?","Prioritization - How do you prioritise items?","Extent of alignment - How do you align your stakeholders?","Responsibility – Who is responsible for placing items on the roadmap?","Ownership of the product roadmap - Who owns the product roadmap and is accountable?","Tools - Which tool(s) do you use to manage your roadmap process?","Where do you look for information about Software Product Management? (tick all that apply)","Is there anything else you'd like to say about product management, strategy, and innovation in your working life? (the answers to this question will not be in the publicly available data set, and only published in aggregate analysis or quoted in an anonymised form)",""
"2021/01/19 4:34:07 pm GMT","Agree","Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS","50-249","4.5 months to < 9 months","3-4 releases a year","4-9","India","5","Corporate Strategy;Innovation Management;Resource Management;Market Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Pricing;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Project requirements engineering;User experience design","Customer analysis;Marketing mix optimisation;Product launches (GTM)","Channel preparation","Service planning and preparation","5","There is some correlation between time and level of detail but the detailing of the items is not done systematically.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Mainly in regular review cycles (e.g., every 3 months)","The impacts are mainly determined based on data from the past (e.g., statistics).","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Ownership is shared between multiple roles","MICROSOFT: Excel;MICROSOFT: Project Server","Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)","",""
"2021/01/19 4:48:29 pm GMT","Agree","Freelancer ( Products & Growth )","I am not a member of any professional body","Retail / Wholesale","B2C SaaS;Packaged service, e.g. Software product + Professional Services","< 10","More than 18 months","About 1 release per year","< 4","India","4","Innovation Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy","","User experience design","Customer analysis;Product launches (GTM);Operational marketing","Customer relationship management","Sales support","4","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly customer and business goals, products, features and for the long-term timeframe topics (e.g., smart home)","Mainly in regular review cycles (e.g., every 3 months)","The impacts are partly validated","Product roadmap items are mainly defined based on customer requests.","Prioritization is based on the capability to deliver (e.g., low hanging fruits)","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Tools are used to decide if items are placed on the roadmap (e.g., decision matrix).","Product management or product teams","MICROSOFT: Excel;MICROSOFT: PowerPoint;PRODUCTPLAN: ProductPlan","Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)","I am learning more about different products, their impacts and the overall ecosystem.",""
"2021/01/19 5:08:10 pm GMT","Agree","Head of Product/VP/Director/CPO","The Association of International Product Marketing & Management (AIPMM)","Software / IT","B2B SaaS;B2C SaaS;Packaged service, e.g. Software product + Professional Services","50-249","4.5 months to < 9 months","More than 12 releases a year","10-19","India","5","Portfolio Management;Innovation Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Pricing;Performance & Risk management","Product life-cycle management;Product requirements engineering","Project Management;Quality Management","Marketing planning;Product launches (GTM)","Customer relationship management","Service provisioning;Technical support","4","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Adjustments are mainly done reactively on demand.","The impacts are mainly determined based on data from the past (e.g., statistics).","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence;MICROSOFT: Excel;MICROSOFT: PowerPoint","Blogs (e.g. Rich Mironov, Product Craft)","",""
"2021/01/19 6:03:36 pm GMT","Agree","Associate/Junior Product Manager","I am not a member of any professional body","Software / IT","Mobile app;Packaged service, e.g. Software product + Professional Services","< 10","9 Months to < 18 months","About 1 release per year","< 4","Nigeria","4","Resource Management;Market Analysis","Delivery model & Service strategy;Pricing;Ecosystem management","Roadmapping;Release planning","Project Management","Marketing planning;Customer analysis","Sales planning;Operational sales","Service planning and preparation","4","Next steps are planned ad-hoc and there is no mid- to long term planning. Only short-term planning exists.","Mainly customer and business goals, products, features and for the long-term timeframe topics (e.g., smart home)","Adjustments are mainly done reactively on demand.","The impacts are mainly determined based on data from the past (e.g., statistics).","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is based on the capability to deliver (e.g., low hanging fruits)","Several loosely connected product roadmaps for internal and external stakeholders exist.","Management","Managers","MICROSOFT: Excel","Events and conferences;Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities);Professional certification (e.g. CPM);Professional training org? (e.g. 280Group or Product Focus)","",""
"2021/01/19 7:33:37 pm GMT","Agree","Product Manager","Mind the product","Software / IT","B2B SaaS","50-249","9 Months to < 18 months","5-12 releases a year","4-9","Canada","4","Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Business case and costing;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Engineering Management;Project Management;Project requirements engineering;User experience design;Quality Management","Marketing planning;Customer analysis;Opportunity Management;Marketing mix optimisation;Product launches (GTM);Operational marketing","Channel preparation;Customer relationship management;Operational sales","","1","Next steps are planned ad-hoc and there is no mid- to long term planning. Only short-term planning exists.","Mainly business goals, products,  features","Adjustments are mainly done reactively on demand.","The impacts are mainly estimated by experts","Product roadmap items are mainly defined based on expert knowledge.","Opinions determine priority","Several loosely connected product roadmaps for internal stakeholders exist.","Management","Managers","ATLASSIAN: Jira/Confluence;MICROSOFT: Excel;MICROSOFT: PowerPoint","Events and conferences;Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities);Professional body (e.g. ISPMA or PDMA);Professional certification (e.g. CPM);Professional training org? (e.g. 280Group or Product Focus);Tool vendor's material (e.g. blog, webinar, ebook);Other PM colleagues","a lot of discrimination/hiring biases exist against females, miniorities(black, asian, etc)",""
"2021/01/19 9:29:41 pm GMT","Agree","Senior Product Manager","I am not a member of any professional body","Retail / Wholesale","B2B Platforn",">= 4500","4.5 months to < 9 months","More than 12 releases a year","50-249","Portugal","2","","Positioning and product definition","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Project Management;Project requirements engineering;Quality Management","","","Technical support","3","There is some correlation between time and level of detail but the detailing of the items is not done systematically.","Mainly products, features","Frequent ad-hoc adjustments.","The impacts are mainly estimated by experts","Product roadmap items are mainly defined based on expert knowledge.","Opinions determine priority","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Ownership is shared between multiple roles","ATLASSIAN: Jira/Confluence","Events and conferences;Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 6:09:39 am GMT","Agree","Head of Product/VP/Director/CPO","I am not a member of any professional body","Private / Consumer","B2C SaaS;Desktop app;Mobile app;Packaged service, e.g. Software product + Professional Services","10-49","4.5 months to < 9 months","More than 12 releases a year","4-9","United Arab Emirates","3","Portfolio Management;Resource Management;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Engineering Management;Project Management;Project requirements engineering;User experience design;Quality Management","Customer analysis","Channel preparation;Customer relationship management;Operational distribution","Service planning and preparation;Service provisioning;Technical support;Sales support","4","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Permanent ad-hoc adjustments.","The impacts are partly validated","Product roadmap items are mainly defined based on customer requests.","Prioritization is based on short term benefit (e.g., shareholder value).","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 9:13:07 am GMT","Agree","Lead Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS;B2C SaaS;Desktop app;Packaged service, e.g. Software product + Professional Services","250-4499","9 Months to < 18 months","3-4 releases a year","10-19","United Kingdom","4","Portfolio Management;Innovation Management","Positioning and product definition;Delivery model & Service strategy","Roadmapping;Release planning;Product requirements engineering","Engineering Management;Project Management;Project requirements engineering;User experience design;Quality Management","Marketing planning;Customer analysis;Opportunity Management","Sales planning;Customer relationship management","Service planning and preparation;Service provisioning;Technical support;Sales support","4","All tasks are planned and worked out in detail for short-,mid- and long term.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Adjustments are mainly done proactively.","The impacts are systematically validated.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","JIRA","Events and conferences","",""
"2021/01/20 9:45:25 am GMT","Agree","Head of Product/VP/Director/CPO","I am not a member of any professional body","Professional services ","Mobile app;Digital strategy, website ","10-49","4.5 months to < 9 months","5-12 releases a year","< 4","Qatar","4","Corporate Strategy;Innovation Management;Market Analysis;Product Analysis","Delivery model & Service strategy","Product life-cycle management;Roadmapping","Project Management;User experience design","Marketing planning;Customer analysis;Opportunity Management;Marketing mix optimisation;Operational marketing","","Marketing support","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products, features","Frequent ad-hoc adjustments.","The impacts are mainly determined based on data from the past (e.g., statistics).","Close integration of discovery and delivery activities","Prioritization is based on short term benefit (e.g., shareholder value).","One central product roadmap exists for different internal and external stakeholders.","Specific roles (e.g., portfolio manager)","Ownership is shared between multiple roles","Trello, Wrike","Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 10:17:11 am GMT","Agree","Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS","10-49","4.5 months to < 9 months","More than 12 releases a year","< 4","Ukraine","1","Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Sourcing;Business case and costing;Pricing","Product life-cycle management;Release planning;Product requirements engineering","Project requirements engineering;User experience design;Quality Management","Customer analysis;Opportunity Management;Product launches (GTM)","Channel preparation;Customer relationship management","Service planning and preparation","3","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products, features","Permanent ad-hoc adjustments.","The impacts are not considered.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Opinions determine priority","No alignment. No one or only one stakeholder such as high level management has a product roadmap that is not communicated to others.","Product Management","No owner defined","ATLASSIAN: Jira/Confluence","Events and conferences;Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)","",""
"2021/01/20 3:33:40 pm GMT","Agree","Product Manager","N/A","Software / IT","B2B SaaS","250-4499","Less than 4.5 months","3-4 releases a year","4-9","Vietnam","5","Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Sourcing;Business case and costing;Pricing;Ecosystem management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Project Management;Project requirements engineering;User experience design;Quality Management","Customer analysis;Opportunity Management;Product launches (GTM)","Customer relationship management","Service planning and preparation;Service provisioning;Technical support;Marketing support;Sales support","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products, features","Permanent ad-hoc adjustments.","The impacts are systematically validated.","Product roadmap items are mainly defined based on customer requests.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities);Professional training org? (e.g. 280Group or Product Focus)","",""
"2021/01/20 3:40:27 pm GMT","Agree","Senior Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS;B2C SaaS;Desktop app","250-4499","Less than 4.5 months","More than 12 releases a year","20-49","United States","4","Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Ecosystem management;Legal & PR management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Project Management;User experience design;Quality Management","Marketing planning;Customer analysis;Opportunity Management;Product launches (GTM);Operational marketing","Customer relationship management","Service planning and preparation;Technical support;Marketing support;Sales support","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products","Mainly in regular review cycles (e.g., every 3 months)","The impacts are systematically validated.","Product roadmap items are mainly defined based on customer requests.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal and external stakeholders exist.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Events and conferences;Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 4:01:53 pm GMT","Agree","Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS","10-49","Less than 4.5 months","More than 12 releases a year","10-19","Norway","2","Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Ecosystem management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Engineering Management;Project Management;Project requirements engineering;User experience design;Quality Management","Marketing planning;Customer analysis;Opportunity Management;Product launches (GTM)","Customer relationship management","Service planning and preparation;Technical support;Marketing support","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products, features","Frequent ad-hoc adjustments.","The impacts are systematically validated.","Close integration of discovery and delivery activities","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 4:55:58 pm GMT","Agree","Head of Product/VP/Director/CPO","I am not a member of any professional body","Software / IT","B2C SaaS","250-4499","Less than 4.5 months","5-12 releases a year","4-9","Germany","4","Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Pricing;Legal & PR management;Performance & Risk management","Roadmapping","Project Management","Marketing planning;Customer analysis;Opportunity Management","Customer relationship management","","4","There is a clear correlation between time and level of detail. The timelier items are more detailed.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Adjustments are mainly done proactively.","The impacts are partly validated","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 6:13:58 pm GMT","Agree","CEO","International Software Product Management Association (ISPMA);Product Development and Management Association (PDMA)","Software / IT","B2B SaaS","< 10","Less than 4.5 months","3-4 releases a year","< 4","Sweden","3","Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Sourcing;Ecosystem management","Roadmapping","User experience design","Opportunity Management","","Service planning and preparation","5","There is some correlation between time and level of detail but the detailing of the items is not done systematically.","Mainly products","Mainly in regular review cycles (e.g., every 3 months)","The impacts are mainly estimated by experts","Close integration of discovery and delivery activities","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Tools are used to decide if items are placed on the roadmap (e.g., decision matrix).","Ownership is shared between multiple roles","MICROSOFT: Excel;MICROSOFT: PowerPoint;PRODUCTPLAN: ProductPlan","Events and conferences;Professional body (e.g. ISPMA or PDMA);Professional training org? (e.g. 280Group or Product Focus)","",""
"2021/01/20 6:44:57 pm GMT","Agree","Head of Product/VP/Director/CPO","I am not a member of any professional body","Banking / Finance","B2C SaaS;Desktop app;Mobile app","250-4499","Less than 4.5 months","More than 12 releases a year","20-49","Spain","1","Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Performance & Risk management","Product life-cycle management;Roadmapping;Product requirements engineering","Engineering Management;User experience design;Quality Management","Customer analysis;Opportunity Management","Channel preparation;Customer relationship management","Service planning and preparation","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products","Frequent ad-hoc adjustments.","The impacts are not considered.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence;MICROSOFT: Excel","Events and conferences;Blogs (e.g. Rich Mironov, Product Craft);Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)","",""
"2021/01/20 7:42:48 pm GMT","Agree","CEO","I am not a member of any professional body","Education","B2B SaaS;B2C SaaS","< 10","Less than 4.5 months","More than 12 releases a year","< 4","Portugal","3","Innovation Management","Delivery model & Service strategy;Pricing;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning","Engineering Management","Marketing planning","Sales planning;Channel preparation","","5","Next steps are planned ad-hoc and there is no mid- to long term planning. Only short-term planning exists.","Mainly products","Permanent ad-hoc adjustments.","The impacts are partly validated","No discovery activities. Typically, a manager is defining the roadmap items.","Prioritization is based on the capability to deliver (e.g., low hanging fruits)","No alignment. No one or only one stakeholder such as high level management has a product roadmap that is not communicated to others.","Tools are used to decide if items are placed on the roadmap (e.g., decision matrix).","No owner defined","AHA LABS: AHA!;ATLASSIAN: Jira/Confluence","Events and conferences","",""